"id","code","name","subjects","display_order","is_active"
91,"D19","Toán, Địa lí, Tiếng Pháp","[""math"", ""geography"", ""french""]",91,True
92,"D20","Toán, Địa lí, Tiếng Trung","[""math"", ""geography"", ""chinese""]",92,True
93,"D21","Toán, Hóa học, Tiếng Đức","[""math"", ""chemistry"", ""german""]",93,True
94,"D22","Toán, Hóa học, Tiếng Nga","[""math"", ""chemistry"", ""russian""]",94,True
95,"D23","Toán, Hóa học, Tiếng Nhật","[""math"", ""chemistry"", ""japanese""]",95,True
96,"D24","Toán, Hóa học, Tiếng Pháp","[""math"", ""chemistry"", ""french""]",96,True
97,"D25","Toán, Hóa học, Tiếng Trung","[""math"", ""chemistry"", ""chinese""]",97,True
98,"D26","Toán, Vật lí, Tiếng Đức","[""math"", ""physics"", ""german""]",98,True
99,"D27","Toán, Vật lí, Tiếng Nga","[""math"", ""physics"", ""russian""]",99,True
100,"D28","Toán, Vật lí, Tiếng Nhật","[""math"", ""physics"", ""japanese""]",100,True
101,"D29","Toán, Vật lí, Tiếng Pháp","[""math"", ""physics"", ""french""]",101,True
102,"D30","Toán, Vật lí, Tiếng Trung","[""math"", ""physics"", ""chinese""]",102,True
103,"D31","Toán, Sinh học, Tiếng Đức","[""math"", ""biology"", ""german""]",103,True
104,"D32","Toán, Sinh học, Tiếng Nga","[""math"", ""biology"", ""russian""]",104,True
105,"D33","Toán, Sinh học, Tiếng Nhật","[""math"", ""biology"", ""japanese""]",105,True
106,"D34","Toán, Sinh học, Tiếng Pháp","[""math"", ""biology"", ""french""]",106,True
107,"D35","Toán, Sinh học, Tiếng Trung","[""math"", ""biology"", ""chinese""]",107,True
108,"D36","Toán, Lịch sử, Tiếng Đức","[""math"", ""history"", ""german""]",108,True
109,"D37","Toán, Lịch sử, Tiếng Nga","[""math"", ""history"", ""russian""]",109,True
110,"D38","Toán, Lịch sử, Tiếng Nhật","[""math"", ""history"", ""japanese""]",110,True
111,"D39","Toán, Lịch sử, Tiếng Pháp","[""math"", ""history"", ""french""]",111,True
112,"D40","Toán, Lịch sử, Tiếng Trung","[""math"", ""history"", ""chinese""]",112,True
113,"D41","Ngữ văn, Địa lí, Tiếng Đức","[""literature"", ""geography"", ""german""]",113,True
114,"D42","Ngữ văn, Địa lí, Tiếng Nga","[""literature"", ""geography"", ""russian""]",114,True
115,"D43","Ngữ văn, Địa lí, Tiếng Nhật","[""literature"", ""geography"", ""japanese""]",115,True
116,"D44","Ngữ văn, Địa lí, Tiếng Pháp","[""literature"", ""geography"", ""french""]",116,True
117,"D45","Ngữ văn, Địa lí, Tiếng Trung","[""literature"", ""geography"", ""chinese""]",117,True
118,"D46","Ngữ văn, Hóa học, Tiếng Đức","[""literature"", ""chemistry"", ""german""]",118,True
119,"D47","Ngữ văn, Hóa học, Tiếng Nga","[""literature"", ""chemistry"", ""russian""]",119,True
120,"D48","Ngữ văn, Hóa học, Tiếng Nhật","[""literature"", ""chemistry"", ""japanese""]",120,True
121,"D49","Ngữ văn, Hóa học, Tiếng Pháp","[""literature"", ""chemistry"", ""french""]",121,True
122,"D50","Ngữ văn, Hóa học, Tiếng Trung","[""literature"", ""chemistry"", ""chinese""]",122,True
123,"D51","Ngữ văn, Vật lí, Tiếng Đức","[""literature"", ""physics"", ""german""]",123,True
124,"D52","Ngữ văn, Vật lí, Tiếng Nga","[""literature"", ""physics"", ""russian""]",124,True
125,"D53","Ngữ văn, Vật lí, Tiếng Nhật","[""literature"", ""physics"", ""japanese""]",125,True
126,"D54","Ngữ văn, Vật lí, Tiếng Pháp","[""literature"", ""physics"", ""french""]",126,True
127,"D55","Ngữ văn, Vật lí, Tiếng Trung","[""literature"", ""physics"", ""chinese""]",127,True
128,"D56","Ngữ văn, Sinh học, Tiếng Đức","[""literature"", ""biology"", ""german""]",128,True
129,"D57","Ngữ văn, Sinh học, Tiếng Nga","[""literature"", ""biology"", ""russian""]",129,True
130,"D58","Ngữ văn, Sinh học, Tiếng Nhật","[""literature"", ""biology"", ""japanese""]",130,True
131,"D59","Ngữ văn, Sinh học, Tiếng Pháp","[""literature"", ""biology"", ""french""]",131,True
132,"D60","Ngữ văn, Sinh học, Tiếng Trung","[""literature"", ""biology"", ""chinese""]",132,True
133,"D61","Ngữ văn, Lịch sử, Tiếng Đức","[""literature"", ""history"", ""german""]",133,True
134,"D62","Ngữ văn, Lịch sử, Tiếng Nga","[""literature"", ""history"", ""russian""]",134,True
135,"D63","Ngữ văn, Lịch sử, Tiếng Nhật","[""literature"", ""history"", ""japanese""]",135,True
